idx,arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,pad_id,pad_load,raw_id,raw_load,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
0,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,4050,127.0.0.1,0,4,,,,,,54050,,,,3269735087.0,,,65064,8080,
1,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,4050,127.0.0.1,0,4,,,,,,54050,,,,3269735087.0,,,65064,8080,
2,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,4032,127.0.0.1,0,4,,,,,485454502f312e3120323030204f4b0d0a,54050,,,,3269735105.0,,,65081,8080,
3,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,4032,127.0.0.1,0,4,,,,,485454502f312e3120323030204f4b0d0a,54050,,,,3269735105.0,,,65081,8080,
4,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22796,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
5,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22796,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
6,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,3973,127.0.0.1,0,4,,,,,446174653a204d6f6e2c203239204a616e20323031382030363a35363a343920474d540d0a5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a,54050,,,,3269735105.0,,,65139,8080,
7,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,3973,127.0.0.1,0,4,,,,,446174653a204d6f6e2c203239204a616e20323031382030363a35363a343920474d540d0a5365727665723a20575347495365727665722f302e322043507974686f6e2f332e362e330d0a,54050,,,,3269735105.0,,,65139,8080,
8,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22795,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
9,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22795,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
10,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,3786,127.0.0.1,0,4,,,,,436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d56614a43686e594d4f63527a566c7766566c305a703748735247786145416d6839486a6931505732683568724267653750677568366e3034463746694b70576c3b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030363a35363a343920474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a,54050,,,,3269735105.0,,,65325,8080,
11,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,3786,127.0.0.1,0,4,,,,,436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a582d4672616d652d4f7074696f6e733a2053414d454f524947494e0d0a566172793a20436f6f6b69650d0a436f6e74656e742d4c656e6774683a20393735310d0a5365742d436f6f6b69653a202063737266746f6b656e3d56614a43686e594d4f63527a566c7766566c305a703748735247786145416d6839486a6931505732683568724267653750677568366e3034463746694b70576c3b20657870697265733d4d6f6e2c2032382d4a616e2d323031392030363a35363a343920474d543b204d61782d4167653d33313434393630303b20506174683d2f0d0a0d0a,54050,,,,3269735105.0,,,65325,8080,
12,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22794,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
13,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,22794,127.0.0.1,0,4,,,,,,8080,,,,3269735105.0,,,65064,54050,
14,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,59830,127.0.0.1,0,4,,,,,3c21444f43545950452068746d6c3e0a3c68746d6c3e0a0a202020203c686561643e0a202020202020202020203c7469746c653e48656c6c6f20776f726c64213c2f7469746c653e0a202020203c2f686561643e0a0a202020203c626f64793e0a202020202020202020203c68313e48656c6c6f20776f726c64213c2f68313e0a202020202020202020203c68323e52756e696e6720446a616e676f20322e302b3c2f68323e0a202020200a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f7072696e742e6373732220747970653d22746578742f63737322206d656469613d227072696e7422202f3e0a3c6c696e6b2072656c3d227374796c6573686565742220687265663d222f7374617469632f64656275675f746f6f6c6261722f6373732f746f6f6c6261722e6373732220747970653d22746578742f63737322202f3e0a0a3c212d2d2050726576656e74206f757220636f7079206f66206a51756572792066726f6d207265676973746572696e6720617320616e20414d44206d6f64756c65206f6e20736974657320746861742075736520526571756972654a532e202d2d3e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f7072652e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f2f616a61782e676f6f676c65617069732e636f6d2f616a61782f6c6962732f6a71756572792f322e322e342f6a71756572792e6d696e2e6a73223e3c2f7363726970743e0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f6a71756572795f706f73742e6a73223e3c2f7363726970743e0a0a3c736372697074207372633d222f7374617469632f64656275675f746f6f6c6261722f6a732f746f6f6c6261722e6a73223e3c2f7363726970743e0a3c6469762069643d22646a44656275672220636c6173733d22646a64742d68696464656e22206469723d226c7472220a20202020200a2020202020646174612d73746f72652d69643d223831646337323437373539323436626561656562333637666439313536623231220a2020202020646174612d72656e6465722d70616e656c2d75726c3d222f5f5f64656275675f5f2f72656e6465725f70616e656c2f220a20202020200a20202020203e0a093c64697620636c6173733d22646a64742d68696464656e222069643d22646a4465627567546f6f6c626172223e0a09093c756c2069643d22646a446562756750616e656c4c697374223e0a0909090a0909093c6c693e3c612069643d22646a48696465546f6f6c426172427574746f6e2220687265663d222322207469746c653d224869646520746f6f6c626172223e486964652026233138373b3c2f613e3c2f6c693e0a0909090a0909090a090909093c6c6920636c6173733d22646a446562756750616e656c427574746f6e223e0a09090909093c696e70757420747970653d22636865636b626f782220646174612d636f6f6b69653d22646a647456657273696f6e7350616e656c2220636865636b65643d22636865636b656422207469746c653d2244697361626c6520666f72206e65787420616e64207375636365737369766520726571756573747322202f3e0a09090909090a0909090909093c6120687265663d222322207469746c653d2256657273696f6e732220636c6173733d2256657273696f6e7350616e656c223e0a09090909090a090909090956657273696f6e730a09090909090a09090909090a0909090909093c6272202f3e3c736d616c6c3e446a616e676f20322e303c2f736d616c6c3e0a09090909090a09090909090a09090909090a0909090909093c2f613e0a09090909090a090909093c2f6c693e0a0909090a090909093c6c6920636c6173733d22646a446562756750616e656c427574746f6e223e0a09090909093c696e70757420747970653d22636865636b626f782220646174612d636f6f6b69653d22646a647454696d657250616e656c2220636865636b65643d22636865636b,54050,,,,3269735105.0,,,9280,8080,
