idx,arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,pad_id,raw_id,raw_load,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
1220,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,32725,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550438,7.0,,65072,41123,
1221,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,32725,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550438,7.0,,65072,41123,
1222,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,52523,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,47851,,,,3540550449,,,65088,8080,
1223,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,51847,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,41713,,,,3540550456,,,65088,8080,
1224,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,42092,127.0.0.1,0,4,,,,3c21444f43545950452048544d4c205055424c494320222d2f2f5733432f2f4454442048544d4c20332e322046696e616c2f2f454e223e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e20746865207365727665722e2020496620796f7520656e7465726564207468652055524c206d616e75616c6c7920706c6561736520636865636b20796f7572207370656c6c696e6720616e642074727920616761696e2e3c2f703e0a,39063,,,,3540550458,,,65297,8080,
1225,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,10901,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,38061,,,,3540550461,,,65088,8080,
1226,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,43957,65495.0,,,3540550466,7.0,,65072,8080,
1227,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,43957,65495.0,,,3540550466,7.0,,65072,8080,
1228,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,12507,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,43957,,,,3540550469,,,65088,8080,
1229,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,45721,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,35971,,,,3540550471,,,65088,8080,
1230,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,19695,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,56087,,,,3540550476,,,65088,8080,
1231,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,10029,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550484,7.0,,65072,39381,
1232,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,23445,127.0.0.1,0,4,,,,,43953,,,,3540550487,,,65064,8080,
1233,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,48641,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,39381,,,,3540550490,,,65088,8080,
1234,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,10490,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550493,7.0,,65072,37647,
1235,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,10490,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550493,7.0,,65072,37647,
1236,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27402,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550561,7.0,,65072,37659,
1237,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27402,127.0.0.1,0,4,,,,,8080,65495.0,,,3540550561,7.0,,65072,37659,
1238,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,37659,65495.0,,,3540550561,7.0,,65072,8080,
1239,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,37659,65495.0,,,3540550561,7.0,,65072,8080,
1240,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27409,127.0.0.1,0,4,,,,,8080,,,,3540550561,,,65064,37659,
1241,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27409,127.0.0.1,0,4,,,,,8080,,,,3540550561,,,65064,37659,
1242,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27199,127.0.0.1,0,4,,,,474554202f736974656d61702e786d6c3f71756572793d25323720485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a203132372e302e302e313a383038300d0a0d0a,8080,,,,3540550561,,,65273,37659,
1243,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,27199,127.0.0.1,0,4,,,,474554202f736974656d61702e786d6c3f71756572793d25323720485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a203132372e302e302e313a383038300d0a0d0a,8080,,,,3540550561,,,65273,37659,
1244,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,7144,127.0.0.1,0,4,,,,,37659,,,,3540550561,,,65064,8080,
1245,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,7144,127.0.0.1,0,4,,,,,37659,,,,3540550561,,,65064,8080,
1246,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,7119,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,37659,,,,3540550563,,,65088,8080,
